Date,HomeTeam,AwayTeam,FTR,FTHG,FTAG,B365H,B365D,B365A,idmatch,FTRfrench
2016-11-19,Rennes,Angers,D,1,1,2.25,3,3.5,Rennes-Angers,N
2016-11-19,Toulouse,Metz,A,1,2,1.5,4.2,7,Toulouse-Metz,2
2016-11-20,Guingamp,Bordeaux,D,1,1,2.45,3.2,3,Guingamp-Bordeaux,N
2016-11-20,Marseille,Caen,H,1,0,1.7,3.75,5,Marseille-Caen,1
2016-11-20,St Etienne,Nice,A,0,1,2.1,3.4,3.6,St Etienne-Nice,2
2016-11-25,Rennes,Toulouse,H,1,0,2.4,3.1,3.1,Rennes-Toulouse,1
2016-11-26,Bordeaux,Dijon,H,3,2,1.73,3.6,5.25,Bordeaux-Dijon,1
2016-11-26,Caen,Guingamp,D,1,1,2.38,3.1,3.3,Caen-Guingamp,N
2016-11-26,Metz,Lorient,D,3,3,2.7,3.25,2.7,Metz-Lorient,N
2016-11-26,Monaco,Marseille,H,4,0,1.67,3.75,5.5,Monaco-Marseille,1
2016-11-26,Montpellier,Nancy,D,0,0,1.91,3.4,4.2,Montpellier-Nancy,N
2016-11-26,Nantes,Lille,D,0,0,2.25,3,3.6,Nantes-Lille,N
2016-11-27,Angers,St Etienne,A,1,2,2.5,3,3.2,Angers-St Etienne,2
2016-11-27,Lyon,Paris SG,A,1,2,3.6,3.4,2.1,Lyon-Paris SG,2
2016-11-27,Nice,Bastia,D,1,1,1.62,3.75,6,Nice-Bastia,N
2016-11-29,Dijon,Monaco,D,1,1,5.5,4,1.62,Dijon-Monaco,N
2016-11-29,Lille,Caen,H,4,2,1.8,3.4,5,Lille-Caen,1
2016-11-29,Lorient,Rennes,H,2,1,2.38,3.25,3.1,Lorient-Rennes,1
2016-11-30,Bastia,Bordeaux,D,1,1,2.9,3,2.7,Bastia-Bordeaux,N
2016-11-30,Guingamp,Nice,A,0,1,2.45,3.2,3,Guingamp-Nice,2
2016-11-30,Nancy,Metz,H,4,0,1.91,3.5,4.2,Nancy-Metz,1
2016-11-30,Nantes,Lyon,A,0,6,3.75,3.25,2.1,Nantes-Lyon,2
2016-11-30,Paris SG,Angers,H,2,0,1.2,7,15,Paris SG-Angers,1
2016-11-30,St Etienne,Marseille,D,0,0,2.15,3.25,3.6,St Etienne-Marseille,N
2016-11-30,Toulouse,Montpellier,H,1,0,2.05,3.4,3.75,Toulouse-Montpellier,1
2016-12-02,Caen,Dijon,D,3,3,2.1,3.3,3.6,Caen-Dijon,N
2016-12-03,Angers,Lorient,D,2,2,2,3.3,4,Angers-Lorient,N
2016-12-03,Bordeaux,Lille,A,0,1,2.15,3.1,3.8,Bordeaux-Lille,2
2016-12-03,Guingamp,Nantes,H,2,0,2.1,3.25,3.75,Guingamp-Nantes,1
2016-12-03,Monaco,Bastia,H,5,0,1.36,4.5,11,Monaco-Bastia,1
2016-12-03,Montpellier,Paris SG,H,3,0,6.5,4.2,1.53,Montpellier-Paris SG,1
2016-12-04,Marseille,Nancy,H,3,0,1.8,3.4,5,Marseille-Nancy,1
2016-12-04,Nice,Toulouse,H,3,0,2.1,3.2,3.8,Nice-Toulouse,1
2016-12-04,Rennes,St Etienne,H,2,0,2.4,3,3.3,Rennes-St Etienne,1
2016-12-10,Bastia,Metz,H,2,0,1.83,3.4,4.75,Bastia-Metz,1
2016-12-10,Bordeaux,Monaco,A,0,4,3.75,3.3,2.1,Bordeaux-Monaco,2
2016-12-10,Dijon,Marseille,A,1,2,3.2,3.25,2.3,Dijon-Marseille,2
2016-12-10,Lille,Montpellier,H,2,1,2,3.1,4.33,Lille-Montpellier,1
2016-12-10,Nancy,Angers,H,2,0,2.5,2.9,3.25,Nancy-Angers,1
2016-12-10,Toulouse,Lorient,H,3,2,2,3.3,4,Toulouse-Lorient,1
2016-12-11,Lyon,Rennes,H,1,0,1.57,3.75,7,Lyon-Rennes,1
2016-12-11,Paris SG,Nice,D,2,2,1.36,5,8.5,Paris SG-Nice,N
2016-12-11,St Etienne,Guingamp,H,1,0,2,3.25,4.2,St Etienne-Guingamp,1
2016-12-16,Angers,Nantes,A,0,2,2.4,3,3.2,Angers-Nantes,2
2016-12-17,Guingamp,Paris SG,H,2,1,7,4.33,1.44,Guingamp-Paris SG,1
2016-12-17,Lorient,St Etienne,H,2,1,2.4,3.2,3,Lorient-St Etienne,1
2016-12-17,Montpellier,Bordeaux,H,4,0,2.25,3.3,3.2,Montpellier-Bordeaux,1
